SOURCE_PATH	SIZE	CATEGORY	REASON
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Housing_Subsidy_Research/Sources_and_Citations/Citation_Template.md	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/HousingPolicyResearch_Archive/HousingPolicyResearch-1_BACKUP/references/.gitkeep	0B	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/HousingPolicyResearch_Archive/HousingPolicyResearch-1_BACKUP/docs/.gitkeep_resources	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/HousingPolicyResearch_Archive/HousingPolicyResearch-1_BACKUP/docs/resources.csv	8.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/HousingPolicyResearch_Archive/HousingPolicyResearch-1_BACKUP/docs/resources-summary.md	16K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/HousingPolicyResearch_Archive/HousingPolicyResearch-1_BACKUP/docs/resources-index.md	20K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/HousingPolicyResearch_Archive/HousingPolicyResearch-1_BACKUP/docs/exports/legal-frameworks/PART_V_Legal_Framework_With_APA_Citations.md	36K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/HousingPolicyResearch_Archive/HousingPolicyResearch-1_BACKUP/docs/exports/policy-reports/MASTER_Works_Cited_APA_7th.md	16K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/CodeResources	8.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/_CodeSignature/CodeResources	32K	CITATIONS_SOURCES	Possible citation/source registry material
