Table 1
"Housing Production
citywide",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 4.01.T: Change in Housing Units 2010 - 2023,,,,,,,,,,,,,,,,,,,,,
,"NYC Department of City Planning Housing Database, 2023 Q4",,,,,,,,,,,,,,,,,,,,
,Number,Percent,,,,,,,,,,,,,,,,,,,
Net change,"307,263",9.1%,,,,,,,,,,,,,,,,,,,
New building,"297,600",8.8%,,,,,,,,,,,,,,,,,,,
Alterations that increase units,"41,764",1.2%,,,,,,,,,,,,,,,,,,,
Alterations that decrease units,"-11,404",-0.3%,,,,,,,,,,,,,,,,,,,
Demolitions,"-20,697",-0.6%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 4.02.T: Homes with New or Extended Affordability Requirements by AMI Band,,,,,,,,,,,,,,,,,,,,,
,"NYC Housing Preservation and Development, 2014-2024",,,,,,,,,,,,,,,,,,,,
,New Construction,,Preservation,,,,,,,,,,,,,,,,,,
,Number,,Number,,,,,,,,,,,,,,,,,,
Extremely low-income (0-30% AMI),"19,753",,"22,625",,,,,,,,,,,,,,,,,,
Very low-income (31-50% AMI),"11,871",,"58,662",,,,,,,,,,,,,,,,,,
Low-income (51-80% AMI),"35,593",,"53,432",,,,,,,,,,,,,,,,,,
Moderate-income (81-120% AMI),"5,936",,"9,785",,,,,,,,,,,,,,,,,,
Middle-income (121-165% AMI),"20,142",,"9,829",,,,,,,,,,,,,,,,,,
High-income (166% or higher AMI),361,,711,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 4.03.T: Areas Within A Historic District,,,,,,,,,,,,,,,,,,,,,
,Historic Districts - Open Data,,,,,,,,,,,,,,,,,,,,
,Number,Percent,,,,,,,,,,,,,,,,,,,
Total square miles within the PUMA,302.1,100.0%,,,,,,,,,,,,,,,,,,,
Square miles of historic districts,7.1,2.3%,,,,,,,,,,,,,,,,,,,
