Table 1
"Demographic Conditions
citywide",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 1.01.T: Mutually Exclusive Race/Hispanic Origin,,,,,,,,,,,,,,,,,,,,,
,"Census SF1, 2000",,"Census SF1, 2010",,"Census PL 94-171, 2020",,"Change, 2010 to 2020",,,,,,,,,,,,,,
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Pctg. Pt.,,,,,,,,,,,,
Total population,"8,008,278",100.0%,"8,175,133",100.0%,"8,804,190",100.0%,"629,057",7.7%,,,,,,,,,,,,,
Asian non-Hispanic,"780,229",9.7%,"1,028,119",12.6%,"1,373,502",15.6%,"345,383",33.6%,3.0,,,,,,,,,,,,
Black non-Hispanic,"1,962,154",24.5%,"1,861,295",22.8%,"1,776,891",20.2%,"-84,404",-4.5%,-2.6,,,,,,,,,,,,
Hispanic/Latino (of any race),"2,160,554",27.0%,"2,336,076",28.6%,"2,490,350",28.3%,"154,274",6.6%,-0.3,,,,,,,,,,,,
White non-Hispanic,"2,801,267",35.0%,"2,722,904",33.3%,"2,719,856",30.9%,"-3,048",-0.1%,-2.4,,,,,,,,,,,,
Non-Hispanic of some other race or combination of races,"304,074",3.8%,"226,739",2.8%,"443,591",5.0%,"216,852",95.6%,2.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 1.02.T: Age - Total Population,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
