Table 1
"Housing Affordability, Quality, and Security
citywide",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 3.01.T: Housing Tenure - Total Population,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
Occupied housing units,"3,020,980","8,973",0.2,100.0%,,"3,063,391","5,375",0.1,100.0%,,"3,250,752","7,032",0.1,100.0%,,"187,361","8,851",6.1%,0.3%,,
Owner-occupied,"914,418","6,871",0.5,30.3%,0.2%,"985,216","6,934",0.4,32.2%,0.2%,"1,070,155","9,062",0.5,32.9%,0.3%,"84,939","11,411",8.6%,1.2%,0.7,0.4
Renter-occupied,"2,106,562","6,871",0.2,69.7%,0.1%,"2,078,175","7,287",0.2,67.8%,0.2%,"2,180,597","8,372",0.2,67.1%,0.2%,"102,422","11,099",4.9%,0.5%,-0.7,0.3
,,,,,,,,,,,,,,,,,,,,,
Table 3.01.A: Housing Tenure - Asian Non-Hispanic,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
Occupied housing units with an Asian non-Hispanic householder,"243,750","4,073",1.0,100.0%,,"338,396","2,959",0.5,100.0%,,"406,259","4,407",0.7,100.0%,,"67,863","5,308",20.1%,1.7%,,
