Full Name,Legislative Body,Party,Geography,District,HJ4A Campaigns Supported
Anthony Palumbo,Senate,Republican,Long Island,S1,
Mario Mattera,Senate,Republican,Long Island,S2,
Dean Murray,Senate,Republican,Long Island,S3,
Monica Martinez,Senate,Democrat,Long Island,S4,
Steven Rhoads,Senate,Republican,Long Island,S5,
Jack Martins,Senate,Republican,Long Island,S7,
Alexis Weik,Senate,Republican,Long Island,S8,
Patricia Canzoneri-Fitzpatrick,Senate,Republican,Long Island,S9,
James Sanders,Senate,Democrat,Queens,S10,"TOPA,HAVP,SHDA"
John Liu,Senate,Democrat,Queens,S16,HAVP
Mike Gianaris,Senate,"WFP,Democrat",Queens,S12,"HAVP,TOPA,Rent Freeze,RGB Reform"
Jessica Ramos,Senate,"WFP,Democrat",Queens,"S13,NYC Mayor","TOPA,HAVP"
Leroy Comrie,Senate,Democrat,Queens,S14,HAVP
Joseph Addabbo,Senate,Democrat,Queens,S15,
Toby Stavisky,Senate,Democrat,Queens,S11,HAVP
Simcha Felder,Senate,Democrat,Brooklyn,S22,
Julia Salazar,Senate,"DSA,WFP,Democrat",Brooklyn,S18,"TOPA,HAVP,SHDA,REST"
Roxanne Persaud,Senate,Democrat,Brooklyn,S19,HAVP
Zellnor Myrie,Senate,"Democrat,WFP",Brooklyn,"S20,NYC Mayor","HAVP,TOPA"
Kevin Parker,Senate,Democrat,Brooklyn,S21,HAVP
Andrew Gounardes,Senate,"Democrat,WFP",Brooklyn,S26,HAVP
Jessica Scarcella-Spanton,Senate,Democrat,"Brooklyn,Staten Island",S23,HAVP
Andrew Lanza,Senate,Republican,Staten Island,S24,
Jabari Brisport,Senate,"DSA,WFP,Democrat",Brooklyn,S25,"TOPA,HAVP,SHDA"
Brian Kavanagh,Senate,Democrat,Lower Manhattan,S27,"HAVP,REST"
Brad Hoylman-Siegel,Senate,"WFP,Democrat",Lower Manhattan,S47,"TOPA,HAVP,SHDA,REST"
Liz Krueger,Senate,"WFP,Democrat",Upper Manhattan,S28,"HAVP,REST"
Cordell Cleare,Senate,"WFP,Democrat",Upper Manhattan,S30,"TOPA,HAVP,SHDA,REST"
Jose Serrano,Senate,"WFP,Democrat",Bronx,S29,"HAVP,TOPA"
Robert Jackson,Senate,"WFP,Democrat",Upper Manhattan,S31,"HAVP,TOPA,SHDA,REST"
Luis Sepulveda,Senate,Democrat,Bronx,S32,"HAVP,TOPA,SHDA"
Gustavo Rivera,Senate,"WFP,Democrat",Bronx,S33,"TOPA,HAVP,SHDA"
Nathalia Fernandez,Senate,Democrat,Bronx,S34,"HAVP,TOPA"
Andrea Stewart-Cousins,Senate,"WFP,Democrat",Westchester & Rockland County,S35,
Jamaal Bailey,Senate,Democrat,Bronx,S36,"TOPA,HAVP"
Shelley Mayer,Senate,"WFP,Democrat",Westchester & Rockland County,S37,"HAVP,SHDA"
Bill Weber,Senate,Republican,Westchester & Rockland County,S38,
James Skoufis,Senate,Democrat,Hudson Valley,S42,HAVP
Peter Harckham,Senate,"WFP,Democrat",Westchester & Rockland County,S40,HAVP
Jacob Ashby,Senate,Republican,Hudson Valley,S43,
Dan Stec,Senate,Republican,,S45,
Michelle Hinchey,Senate,"WFP,Democrat",Hudson Valley,S41,"HAVP,TOPA,SHDA"
Mark Walczyk,Senate,Republican,,S49,
James Tedisco,Senate,Republican,Capital Region,S44,
Peter Oberacker,Senate,Republican,Central NY,S51,
Lea Webb,Senate,"Democrat,WFP",Southern Tier,S52,"TOPA,HAVP"
Rachel May,Senate,"WFP,Democrat",Syracuse,S48,"HAVP,TOPA,REST"
Pamela Helming,Senate,Republican,Rochester,S54,
Jeremy Cooney,Senate,"WFP,Democrat",Rochester,S56,"HAVP,TOPA"
Samra Brouk,Senate,"WFP,Democrat",Rochester,S55,"HAVP,TOPA"
George Borello,Senate,Republican,Central NY,S57,
Tom O'Mara,Senate,Republican,Central NY,S58,
Patrick Gallivan,Senate,Republican,"Rochester,Buffalo",S60,
Sean Ryan,Senate,Democrat,Buffalo,S61,HAVP
Kristen Gonzalez,Senate,"Democrat,WFP,DSA",Queens,S59,"TOPA,HAVP,SHDA"
Robert Ortt,Senate,Republican,Rochester,S62,
Rob Rolison,Senate,Republican,Hudson Valley,S39,
Joseph Griffo,Senate,Republican,,S53,
Siela Bynoe,Senate,Democrat,Long Island,S6,
Steve Chan,Senate,Republican,Brooklyn,S17,
Pat Fahy,Senate,Democrat,Capital Region,S46,HAVP
Chris Ryan,Senate,Democrat,Syracuse,S50,
