who_owns_what_export
housenumber,streetname,zip,boro,registrationid,lastregistrationdate,registrationenddate,bbl,bin,hpdbuildingid,hpdbuildings,corpnames,businessaddrs,ownernames,allcontacts,totalviolations,openviolations,totalcomplaints,recentcomplaints,recentcomplaintsbytype,unitsres,yearbuilt,council,lat,lng,evictions,rsunits2007,rsunitslatest,rsunitslatestyear,rsdiff,yearstartedj51,yearstarted421a,lastsaleacrisid,lastsaledate,lastsaleamount,evictionfilings
53,AVENUE B,10009,MANHATTAN,128483,2021-10-07,2022-09-01,1003860010,1004611,6489,1,"NEWGENT MANAGEMENT, LLC.; 53 AVENUE B REALTY CORP.",20 SOUTH BROADWAY MEZZAN 10701,"ABDULLAH FERSEN (Officer), ABDULLAH FERSEN (SiteManager), ABDULLAH FERSEN (Agent), ANTONIO ECHEVERRI (HeadOfficer)","ABDULLAH FERSEN (Agent), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; ANTONIO ECHEVERRI (HeadOfficer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; ABDULLAH FERSEN (Officer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; ABDULLAH FERSEN (SiteManager); 53 AVENUE B REALTY CORP. (Corporation), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; NEWGENT MANAGEMENT, LLC. (Corporation), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701",11,5,31,0,,16,1900,2,40.7230812,-73.9823656,,13,8,2022,-5,,,,,,6
627,EAST 11TH STREET,10009,MANHATTAN,141584,2016-10-25,2017-09-01,1003947503,0,11739,2,DEL ESTATE VILLAGE V CONDOMINIUM; FRANCOEUR/COOKE MANAGEMENT LLC,271 MADISON AVENUE 800 10016; 243 WEST 21ST STREET 1B 10011; 243 WEST 21ST STREET 1B 110011001; 243 WEST 21ST ASTREET 1B 10011,"ELENI MARUDIS (Officer), DOROTHY FRANCOEUR (SiteManager), FRANK LOMBARDO (HeadOfficer), DOROTHY FRANCOEUR (Agent), TRACY FLAUM (Officer)","DOROTHY FRANCOEUR (Agent), 243 WEST 21ST ASTREET 1B NEW YORK, NY 10011; FRANK LOMBARDO (HeadOfficer), 243 WEST 21ST STREET 1B NEW YORK, NY 10011; ELENI MARUDIS (Officer), 271 MADISON AVENUE 800 NEW YORK, NY 10016; TRACY FLAUM (Officer), 243 WEST 21ST STREET 1B NEW YORK, NY 10011; DOROTHY FRANCOEUR (SiteManager); DEL ESTATE VILLAGE V CONDOMINIUM (Corporation), 243 WEST 21ST STREET 1B NEW YORK, NY 110011001; FRANCOEUR/COOKE MANAGEMENT LLC (Corporation), 243 WEST 21ST ASTREET 1B NEW YORK, NY 10011",28,0,0,0,,12,2001,2,40.7271207,-73.9780566,,,,2022,,,,,,,0
515,EAST 11TH STREET,10009,MANHATTAN,141710,2023-08-26,2024-09-30,1004057503,1088377,821942,3,CORNERSTONE MGMT SYSTEMS INC; DEL ESTE VILLAGE II CONDO,271 MADISON AVENUE 800 10016,"CHRIS BONGIRNE (Officer), ARIEL FOX (Agent), UDO DRESCHER (HeadOfficer)","ARIEL FOX (Agent), 271 MADISON AVENUE 800 NEW YORK, NY 10016; UDO DRESCHER (HeadOfficer), 271 MADISON AVENUE 800 NEW YORK, NY 10016; CHRIS BONGIRNE (Officer), 271 MADISON AVENUE 800 NEW YORK, NY 10016; CORNERSTONE MGMT SYSTEMS INC (Corporation), 271 MADISON AVENUE 800 NEW YORK, NY 10016; DEL ESTE VILLAGE II CONDO (Corporation), 271 MADISON AVENUE 800 NEWY ORK, NY 10016",6,4,1,1,COOKING GAS (1),12,1999,2,40.7283399,-73.9809462,,,,2022,,,,,,,0
510,EAST 13TH STREET,10009,MANHATTAN,135023,2024-08-26,2025-09-01,1004060011,1005205,11970,1,508-510 E 13 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 508-510 E 13 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",296,72,337,163,"HEAT/HOT WATER (29), PESTS (23), GARBAGE/RECYCLING STORAGE (19), PAINT/PLASTER (19), BELL/BUZZER/INTERCOM (18), DOOR/WINDOW (11), WATER LEAK (10), MOLD (9), PLUMBING (9), FLOORING/STAIRS (7), ELECTRIC (3), CABINET (3), SIGNAGE MISSING (1), SAFETY (1), COOKING GAS (1)",27,1900,2,40.7292785,-73.9803903,,26,27,2022,1,,,2021071401317001,2021-07-08,5400000,13
349,WEST BROADWAY,10013,MANHATTAN,125637,2024-08-02,2025-09-01,1004750007,1007059,43873,1,"NEWGENT MANAGEMENT, LLC.; SOHO GRAND WEST BROADWAY INC",20 SOUTH BROADWAY MEZZA 10701; 349 WEST BROADWAY 10013; 20 SOUTH BROADWAY MEZZAN 10701,"FAIZ AHMED (Agent), RAFI SATTI (SiteManager), ANNA HUGH (HeadOfficer), FAIZ AHMED (Officer)","FAIZ AHMED (Agent), 20 SOUTH BROADWAY MEZZA YONKERS, NY 10701; ANNA HUGH (HeadOfficer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; FAIZ AHMED (Officer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; RAFI SATTI (SiteManager); NEWGENT MANAGEMENT, LLC. (Corporation), 20 SOUTH BROADWAY MEZZA YONKERS, NY 10701; SOHO GRAND WEST BROADWAY INC (Corporation), 349 WEST BROADWAY NEW YORK, NY 10013",19,0,30,3,"PLUMBING (2), GARBAGE/RECYCLING STORAGE (1)",24,1900,1,40.72269,-74.0031459,,,,2022,,,,,,,2
29,WEST 27TH STREET,10001,MANHATTAN,127727,2024-08-02,2025-09-01,1008290020,1015681,31835,1,NEWGENT MANAGEMENT LLC; 29 W. 27TH STREET PARTNERS LLC,20 SOUTH BROADWAY MEZZAN 10701; 29 WEST 27TH STREET 10001,"MOHAMMAD MAHMOOD (HeadOfficer), FAIZ AHMED (Officer), ASIM RASHID (Shareholder), MUHAMMAD RASHID (Shareholder), FAIZ AHMED (Agent), MOHAMMAD MAHMOOD (Shareholder), FAIZ AHMED (SiteManager)","FAIZ AHMED (Agent), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; MOHAMMAD MAHMOOD (HeadOfficer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; FAIZ AHMED (Officer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; ASIM RASHID (Shareholder), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; MOHAMMAD MAHMOOD (Shareholder), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; MUHAMMAD RASHID (Shareholder), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; FAIZ AHMED (SiteManager); 29 W. 27TH STREET PARTNERS LLC (Corporation), 29 WEST 27TH STREET NEW YORK, NY 10001; NEWGENT MANAGEMENT LLC (Corporation), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701",30,8,38,10,"HEAT/HOT WATER (4), WATER LEAK (4), FLOORING/STAIRS (1), PAINT/PLASTER (1)",8,1854,3,40.7449577,-73.9892997,1,0,0,2022,0,,,2021102900134001,2021-10-21,5757581,
355,EAST 19TH STREET,10003,MANHATTAN,144255,2024-08-02,2025-09-01,1009257501,1020521,940187,1,NEWGENT MANAGEMENT LLC; 355 E19 CONDOMINIUM,20 SOUTH BROADWAY MEZZAN 10701; 355 EAST 19TH STREET 10003,"FAIZ AHMED (Agent), F AHMED (Officer), GUILLAUME JEANNIN (HeadOfficer), FAIZ AHMED (SiteManager)","FAIZ AHMED (Agent), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; GUILLAUME JEANNIN (HeadOfficer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; F AHMED (Officer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; FAIZ AHMED (SiteManager); 355 E19 CONDOMINIUM (Corporation), 355 EAST 19TH STREET NEW YORK, NY 10003; NEWGENT MANAGEMENT LLC (Corporation), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701",5,1,5,5,"HEAT/HOT WATER (2), MOLD (1), PLUMBING (1), APPLIANCE (1)",7,2014,2,40.7348367,-73.9807351,,,,2022,,,,,,,
325,WEST 77TH STREET,10024,MANHATTAN,126061,2024-08-26,2025-09-01,1011860009,1031093,35585,1,325 W 77 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 325 W 77 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",148,61,233,149,"HEAT/HOT WATER (81), BELL/BUZZER/INTERCOM (17), COOKING GAS (15), PAINT/PLASTER (6), WATER LEAK (4), GARBAGE/RECYCLING STORAGE (4), DOOR/WINDOW (4), MOLD (3), SAFETY (2), JANITOR/SUPER (2), PLUMBING (2), FLOORING/STAIRS (2), APPLIANCE (2), ELEVATOR (2), SEWAGE (1), CABINET (1), PESTS (1)",48,1919,6,40.7836468,-73.9830031,,21,0,2022,-21,,,2021072700865003,2021-07-22,15400000,3
66,WEST 88TH STREET,10024,MANHATTAN,117058,2024-08-26,2025-09-01,1012010058,1031485,36704,1,66 W 88 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 66 W 88 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",97,29,112,91,"PAINT/PLASTER (29), HEAT/HOT WATER (18), DOOR/WINDOW (9), WATER LEAK (9), APPLIANCE (6), MOLD (4), CABINET (4), FLOORING/STAIRS (4), ELECTRIC (3), PLUMBING (2), PESTS (2), SAFETY (1)",48,1941,6,40.7873965,-73.9708794,,28,43,2022,15,,,2021062100485001,2021-06-17,17000000,8
17,WEST 125TH STREET,10027,MANHATTAN,124149,2024-08-26,2025-09-01,1017230023,1053503,39468,1,125 IMPROVEMENT GROUP LLC,49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 125 IMPROVEMENT GROUP LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",513,103,861,378,"COOKING GAS (103), HEAT/HOT WATER (87), PAINT/PLASTER (46), PLUMBING (23), BELL/BUZZER/INTERCOM (21), APPLIANCE (20), PESTS (20), ELECTRIC (11), DOOR/WINDOW (10), FLOORING/STAIRS (9), GARBAGE/RECYCLING STORAGE (7), WATER LEAK (7), MOLD (5), SAFETY (2), ELEVATOR (2), SIGNAGE MISSING (2), MAILBOX (1), SEWAGE (1), VENTILATION SYSTEM (1)",49,1900,9,40.8071043,-73.943172,2,48,46,2022,-2,,,2022071900728001,2022-07-12,21224649,20
