Story_ID,Story_Focus,Task_Type,Task_Description,Owner,Priority,Due_Date,Status,Notes
S1,National Guard shooting & asylum halt,Legal memo,"Analyze legality and civil-rights implications of nationwide asylum decision pause; map risks to NYC immigrant households using subsidies/equity investments",Civil-Rights Attorney,High,,Not started,"Coordinate with immigration advocates for data"
S1,National Guard shooting & asylum halt,Messaging brief,"Develop framing separating security response from collective punishment of asylum seekers; align with equity-investment narrative",Policy Comms,High,,Not started,"Use human rights framing from UN statement"
S2,NYC Charter fast-track housing amendments,Policy design,"Specify how fast-track pathways can be conditioned on tenant equity participation and anti-displacement safeguards","Municipal CFO / Policy Analyst",High,,Not started,"Tie to Public Equity Transfer Framework"
S2,NYC Charter fast-track housing amendments,ROI modeling,"Model fiscal impact of accelerated approvals for equity-based projects vs status quo LIHTC-style rental subsidies","Municipal CFO / Policy Analyst",High,,Not started,"Use city capital plan + HPD pipeline data"
S3,Where We Live NYC 2025 fair housing plan,Alignment analysis,"Crosswalk WWL goals with subsidy-to-equity model; identify where proposal advances or may conflict with fair housing commitments",Policy Analyst,Medium,,Not started,"Focus on segregation, displacement, disability"
S3,Where We Live NYC 2025 fair housing plan,Equity metrics,"Design draft equity and anti-discrimination metrics for inclusion in proposal (race, disability, immigration status, geography)","Data / Research Lead",High,,Not started,"Leverage NFHA trends report"
S4,CityFHEPS expansion & Unit Hold elimination,Program redesign,"Propose converting a portion of CityFHEPS spend into equity credits tied to stable tenancy and building performance","Municipal CFO / Program Design",High,,Not started,"Quantify potential shelter cost savings"
S4,CityFHEPS expansion & Unit Hold elimination,ROI modeling,"Compare lifetime cost of voucher-only support vs mixed voucher + equity pathway for a typical household",Municipal CFO,High,,Not started,"Incorporate shelter, admin, and capital costs"
S5,"NYS FY 2025 housing policies (485-x, 467-m, FAR, IAIs, Good Cause)",Statutory mapping,"Map where state tools can explicitly support tenant equity models (e.g., conditions on 485-x or 467-m for co-op/limited-equity)","Policy Analyst / Counsel",Medium,,Not started,"Flag home-rule constraints"
S5,"NYS FY 2025 housing policies (485-x, 467-m, FAR, IAIs, Good Cause)",Scenario modeling,"Test scenarios combining state tax benefits with city equity-investment tools in under-producing districts",Municipal CFO,Medium,,Not started,"Coordinate with Charter fast-track analysis"
S6,Federal HUD budget cuts,Fiscal risk brief,"Quantify exposure of NYC housing ecosystem to proposed HUD cuts; identify which subsidies can be replaced by equity instruments",Municipal CFO,High,,Not started,"Use NYCHA, Section 8, CoC local data"
S6,Federal HUD budget cuts,Advocacy memo,"Draft memo positioning equity-transfer framework as local resilience strategy to federal retrenchment",Policy Comms,Medium,,Not started,"Target city/state legislators"
S7,HUD CoC rule changes (supportive housing),Program impact analysis,"Assess impact on supportive housing tenants (disability, age) and feasibility of layering equity stakes into supportive models","Policy Analyst / Service Provider Liaison",Medium,,Not started,"Coordinate with providers like Community Access"
S7,HUD CoC rule changes (supportive housing),Rights risk review,"Evaluate ADA/504 and fair housing risks if supports are reduced while equity models are introduced","Civil-Rights Attorney",High,,Not started,"Ensure no de facto exclusion of high-need tenants"
S8,NFHA discrimination & HUD enforcement collapse,Civil-rights framework,"Draft civil-rights guardrails for equity-transfer program (screening rules, marketing, governance, enforcement)","Civil-Rights Attorney",High,,Not started,"Use NFHA findings on disability and national origin"
S8,NFHA discrimination & HUD enforcement collapse,Data plan,"Design data collection plan to monitor disparate impact of equity investments across protected classes","Data / Research Lead",High,,Not started,"Align with WWL and NFHA reporting fields"
S9,UN Human Rights Day statement,Normative framing,"Integrate UN language on indivisible economic/social rights into report introduction and messaging",Policy Comms,Low,,Not started,"Position equity-investment as rights-consistent"
S10,National Center for Civil and Human Rights expansion,Movement alignment,"Map potential partnerships for narrative, public education, and case studies on housing as a civil right","Policy Comms / Partnerships",Low,,Not started,"Consider NYC analog institutions for collaboration"
