Task ID,Task Name,Section,Owner Persona,Current Status,Due Date,Days Overdue,Legal Risk,Fiscal Risk,Operational Risk,Blocker Count,Critical Path Rank,Action Required
TASK_000,Set scope guardrails (NYC-only, agencies list, funding reuse),Intake/Triage,Program Manager,-,🟢 LOW,🟢 LOW,🟢 LOW,19,1,CRITICAL: Multiple blockers - activate parallel workstreams
TASK_001,Refine core research question into measurable KPIs,Intake/Triage,Policy Analyst,Not Started,2025-09-22,83,🟢 LOW,🔴 HIGH,🟢 LOW,0,-,OVERDUE 83d - escalate to owner
TASK_002,Create fact-check rubric for stats laws budgets,QA,Research Lead,Not Started,2025-09-23,82,🟢 LOW,🔴 HIGH,🟢 LOW,9,-,OVERDUE 82d - escalate to owner
TASK_003,Map existing NYC/NYS/HUD subsidy programs,Research,Policy Analyst,Not Started,2025-09-27,78,🟢 LOW,🟢 LOW,🟢 LOW,1,-,OVERDUE 78d - escalate to owner
TASK_004,Identify funding streams for tenant equity and HOA reserves,Research,Municipal CFO,Not Started,2025-10-01,74,🟢 LOW,🔴 HIGH,🟢 LOW,1,-,OVERDUE 74d - escalate to owner
TASK_005,Assemble comparative models (e.g. Vienna),Research,Policy Analyst,Not Started,2025-10-05,70,🟢 LOW,🟢 LOW,🟢 LOW,1,-,OVERDUE 70d - escalate to owner
TASK_006,Draft v1: Problem Solution Governance Funding,Drafting,Policy Analyst,Not Started,2025-10-08,67,🟢 LOW,🔴 HIGH,🟢 LOW,4,-,OVERDUE 67d - escalate to owner
TASK_007,Equity impact analysis with disaggregated data,Drafting,Data Analyst,Not Started,2025-10-11,64,🟢 LOW,🟢 LOW,🟢 LOW,4,-,OVERDUE 64d - escalate to owner
TASK_008,Legal feasibility crosswalk (Title IV/IX/ADA/504 procurement,Drafting,Civil-rights Attorney,Not Started,2025-10-11,64,🔴 HIGH,🟢 LOW,🟢 LOW,4,-,OVERDUE 64d - escalate to owner
TASK_009,List 3–5 policy mechanisms with pros/cons,Decision,Policy Analyst,Not Started,2025-10-13,62,🟢 LOW,🟢 LOW,🟢 LOW,7,-,OVERDUE 62d - escalate to owner
TASK_010,Select credit-union partnership model,Decision,Municipal CFO,Not Started,2025-10-15,60,🟢 LOW,🟡 MED,🟢 LOW,7,-,OVERDUE 60d - escalate to owner
TASK_011,Run Fact Check against all claims and stats,QA,Research Lead,Not Started,2025-10-17,58,🟢 LOW,🟢 LOW,🟢 LOW,9,-,OVERDUE 58d - escalate to owner
TASK_012,Resolve green flags or log as risks,QA,Program Manager,Not Started,2025-10-19,56,🟢 LOW,🟢 LOW,🟢 LOW,9,-,OVERDUE 56d - escalate to owner
TASK_013,Generate shell skeletons for APA checks and data pulls,Automation,Ops,Not Started,2025-09-29,76,🟢 LOW,🟢 LOW,🟢 LOW,12,-,CRITICAL: Multiple blockers - activate parallel workstreams
TASK_014,Adopt file naming: MASTER_v VERSION _YYYYMMDD.docx,Version Control,Ops,Not Started,2025-09-19,86,🟢 LOW,🟢 LOW,🔴 HIGH,13,-,CRITICAL: Multiple blockers - activate parallel workstreams
TASK_015,Save Works Cited in separate APA master,Version Control,Research Lead,Not Started,2025-09-24,81,🟢 LOW,🟢 LOW,🟢 LOW,13,-,CRITICAL: Multiple blockers - activate parallel workstreams
TASK_016,Produce 1-pager summary,Deliverables,Policy Analyst,Not Started,2025-10-20,55,🟢 LOW,🔴 HIGH,🟢 LOW,15,2,CRITICAL: Multiple blockers - activate parallel workstreams
TASK_017,Produce 2-page briefing memo,Deliverables,Policy Analyst,Not Started,2025-10-21,54,🟢 LOW,🟢 LOW,🟢 LOW,15,3,CRITICAL: Multiple blockers - activate parallel workstreams
TASK_018,Build slide deck outline,Deliverables,Policy Analyst,Not Started,2025-10-22,53,🟢 LOW,🔴 HIGH,🟢 LOW,15,4,CRITICAL: Multiple blockers - activate parallel workstreams
TASK_019,Appendices: cost model legal templates charts,Deliverables,Team,Not Started,2025-10-27,48,🔴 HIGH,🟢 LOW,🟢 LOW,15,5,CRITICAL: Multiple blockers - activate parallel workstreams
